Sigma ,Full Frame,Sigma 50mm f/1.4 DG DN Art para Sony E”, $939,00 
Sigma ,Full Frame,Sigma 14-24mm f/2.8 DG DN Art para Sony E, $1.450,00 
Viltrox ,Full Frame,Viltrox AF 28mm f/1.8 FE, Full Frame, para Sony E, $378,99 
Ttartisan,Full Frame,TTArtisan AF 75mm f/2,0 FE, Full Frame, $158,00 
Ttartisan,APS-C,TTArtisan AF 27mm f/2,8 E, APS-C, $120,00 
Ttartisan,APS-C,TTArtisan AF 56mm F1.8, $129,00 
Ttartisan,APS-C,TTArtisan AF 35mm F1.8 II, $125,00 
Samyang,Full Frame,Samyang AF 24mm F/2,8 FE, $180,00 
Samyang,Full Frame,Samyang AF 35mm - 150mm F/2,0 - 2,8 FE, $800,00 
Samyang,Full Frame,Samyang AF 35mm F/2,8 FE, $180,00 
Samyang,Full Frame,Samyang AF 24mm F/1,8 FE, $290,00 
Samyang,Full Frame,Samyang AF 18mm F/2,8 FE, $180,00 
Samyang,Full Frame,Samyang AF 35mm F/1,8 FE, $290,00 
Samyang,Full Frame,Samyang AF 45mm F/1,8 FE, $390,00 
Laowa,Full Frame,Laowa AF 10mm F/2,8 FE, $799,00 
Samyang,Full Frame,Samyang AF 75mm F/1,8 FE, $314,00 
ZEISS BATIS,Full Frame,Zeiss Batis 25mm F/2 FE, $1.000,00 
ZEISS BATIS,Full Frame,Zeiss Batis 18mm F/2,8 FE, $1.159,00 
ZEISS BATIS,Full Frame,Zeiss Batis 135mm F/2,8 FE, $1.280,00 
ZEISS BATIS,Full Frame,Zeiss Batis 85mm F/1,8 FE, $1.199,00 
Sigma ,Full Frame,Sigma 45mm F/2,8 FE, $445,00 
Sigma ,Full Frame,Sigma 65mm f/2 DG DN Contemporary, $699,00 
Sigma ,APS-C,Sigma 60mm F/2,8 , $180,00 
Sigma ,APS-C,Sigma 19mm F/2,8 , $180,00 
Sigma ,APS-C,Sigma 30mm F/2,8 , $180,00 
Sigma ,Full Frame,SIGMA 90mm F/2,8 DG DN Contemporary, $699,00 
Viltrox ,APS-C,Viltrox AF 13mm f/1.4 E, para Sony E, $413,00 
Yongnuo ,APS-C,Yongnuo YN33mm F1.4S DA DSM para Sony E, $320,00 
Yongnuo ,APS-C,Yongnuo YN56mm F1.4S DA DSM para Sony E, $345,00 
7artisan,Full Frame,7artisan 18mm F5,6 Pancake Sony E, $70,00 
